date,exercise_id,set_order,weight,reps,notes,rpe
2021-10-24,25,2,32.5,12,"",
2021-10-24,25,3,32.5,11,"",
2021-10-24,6,1,25,13,"",
2021-10-24,6,2,25,12,"",
2021-10-24,6,3,25,10,"",
2021-10-24,10,1,10,15,"",
2021-10-24,10,2,10,15,"",
2021-10-24,10,3,10,15,"",
2021-10-24,44,1,10,15,"",
2021-10-24,44,2,10,15,"",
2021-10-24,44,3,10,15,"",
2021-10-24,52,1,10,10,"",
2021-10-24,52,2,10,10,"",
2021-10-27,1,1,125,12,"",
2021-10-27,1,2,125,12,"",
2021-10-27,1,3,125,12,"",
2021-10-27,1,4,125,10,"",
2021-10-27,20,1,105,10,"",
2021-10-27,20,2,105,10,"",
2021-10-27,20,3,105,10,"",
2021-10-27,2,1,22.5,12,"",
2021-10-27,2,2,22.5,12,"",
2021-10-27,2,3,22.5,12,"",
2021-10-27,4,1,100,12,"",
2021-10-27,4,2,100,12,"",
2021-10-27,4,3,100,12,"",
2021-10-27,3,1,85,13,"",
2021-10-27,3,2,85,12,"",
2021-10-28,5,1,100,10,"",
2021-10-28,5,2,100,10,"",
2021-10-28,5,3,100,8,"",
2021-10-28,5,4,100,6,"",
2021-10-28,32,1,27.5,12,"",
2021-10-28,32,2,27.5,12,"",
2021-10-28,32,3,27.5,10,"",
2021-10-28,48,1,22.5,10,"",
2021-10-28,48,2,22.5,10,"",
2021-10-28,48,3,22.5,10,"",
2021-10-28,34,1,50,12,"",
2021-10-28,34,2,50,12,"",
2021-10-28,34,3,50,8,"",
2021-10-28,49,1,24,12,"",
2021-10-28,49,2,24,12,"",
2021-10-28,49,3,24,12,"",
2021-10-28,10,1,10,17,"",
2021-10-28,10,2,10,13,"",
2021-10-28,10,3,10,12,"",
2021-10-28,52,1,7.5,12,"",
2021-10-28,52,2,7.5,12,"",
2021-10-28,52,3,7.5,12,"",
2021-10-29,35,1,85,10,"",
2021-10-29,35,2,85,10,"",
2021-10-29,35,3,85,10,"",
2021-10-29,35,4,85,10,"",
2021-10-29,46,1,55,10,"",
2021-10-29,46,2,55,10,"",
2021-10-29,46,3,55,10,"",
2021-10-29,37,1,70,10,"",
2021-10-29,37,2,70,9,"",
2021-10-29,37,3,70,9,"",
2021-10-29,50,1,27.5,14,"",
2021-10-29,50,2,27.5,12,"",
2021-10-29,50,3,27.5,11,"",
2021-10-29,39,1,35,13,"",
2021-10-29,39,2,35,12,"",
2021-10-29,39,3,35,10,"",
2021-10-30,40,1,165,6,"",
2021-10-30,40,2,165,6,"",
2021-10-30,40,3,165,6,"",
2021-10-30,40,4,165,6,"",
2021-10-30,57,1,90,13,"",
2021-10-30,57,2,90,15,"",
2021-10-30,57,3,90,13,"",
2021-10-30,29,1,42.5,10,"",
2021-10-30,29,2,42.5,10,"",
2021-10-30,29,3,42.5,10,"",
2021-10-30,3,1,40,12,"",
2021-10-30,3,2,40,12,"",
2021-10-30,3,3,40,12,"",
2021-10-30,3,4,25,4,"",
2021-10-30,4,1,40,15,"",
2021-10-30,4,2,40,15,"",
2021-10-30,4,3,40,12,"",
2021-10-30,51,1,60,15,"",
2021-10-30,51,2,60,15,"",
2021-10-30,51,3,60,15,"",
2021-10-30,47,1,25,15,"",
2021-10-30,47,2,25,15,"",
2021-10-30,47,3,25,12,"",
2021-10-31,23,1,85,12,"",
2021-10-31,23,2,85,11,"",
2021-10-31,23,3,85,8,"",
2021-10-31,42,1,50,8,"",
2021-10-31,42,2,50,10,"",
2021-10-31,42,3,50,10,"",
2021-10-31,25,1,32.5,12,"",
2021-10-31,25,2,32.5,12,"",
2021-10-31,25,3,32.5,12,"",
2021-10-31,24,1,22.5,10,"",
2021-10-31,24,2,22.5,10,"",
2021-10-31,24,3,22.5,10,"",
2021-10-31,26,1,12,12,"",
2021-10-31,26,2,12,12,"",
2021-10-31,26,3,12,12,"",
2021-10-31,10,1,10,12,"",
2021-10-31,10,2,10,12,"",
2021-10-31,10,3,10,12,"",
2021-10-31,44,1,10,12,"",
2021-10-31,44,2,10,11,"",
2021-10-31,44,3,10,10,"",
2021-10-31,52,1,7.5,12,"",
2021-10-31,52,2,7.5,15,"",
2021-10-31,52,3,7.5,11,"",
2021-11-01,13,1,0,8,"",
2021-11-01,13,2,0,8,"",
2021-11-01,13,3,0,8,"",
2021-11-01,13,4,0,6,"",
2021-11-01,58,1,65,12,"",
2021-11-01,58,2,65,12,"",
2021-11-01,58,3,65,12,"",
2021-11-01,53,1,60,12,"",
2021-11-01,53,2,60,12,"",
2021-11-01,53,3,60,12,"",
2021-11-01,50,1,27.5,14,"",
2021-11-01,50,2,27.5,14,"",
2021-11-01,50,3,27.5,13,"",
2021-11-01,38,1,17.5,12,"",
2021-11-01,38,2,17.5,12,"",
2021-11-01,38,3,17.5,10,"",
2021-11-01,59,1,17.5,8,"",
2021-11-01,59,2,17.5,8,"",
2021-11-01,59,3,17.5,8,"",
2021-11-03,1,1,130,10,"",
2021-11-03,1,2,130,10,"",
2021-11-03,1,3,130,8,"",
2021-11-03,1,4,130,8,"",
2021-11-03,20,1,105,12,"",
2021-11-03,20,2,105,12,"",
2021-11-03,20,3,105,12,"",
2021-11-03,2,1,25,10,"",
2021-11-03,2,2,25,10,"",
2021-11-03,2,3,25,10,"",
2021-11-03,3,1,40,12,"",
2021-11-03,4,1,40,15,"",
2021-11-03,4,2,40,15,"",
2021-11-03,4,3,40,12,"",
2021-11-03,51,1,60,15,"",
2021-11-03,51,2,60,15,"",
2021-11-03,51,3,60,15,"",
2021-11-04,5,1,100,12,"",
